Student_ID,Study_Hours,Sleep_Hours,Screen_Time,Attendance_Pct,Practice_Score,Assignments_Completed,Performance_Level
S1001,9,7,2,98,92,12,High
S1002,3,5,7,65,40,4,Low
S1003,6,8,4,88,75,9,Medium
S1004,10,6,1,95,98,12,High
S1005,2,4,8,50,30,2,Low
S1006,7,7,3,92,82,11,High
S1007,5,6,5,80,65,7,Medium
S1008,4,9,6,75,55,6,Medium
S1009,1,5,9,45,25,1,Low
S1010,8,7,2,94,89,12,High
S1011,6,8,3,90,78,10,High
S1012,3,6,6,72,48,5,Low
S1013,5,7,4,85,70,8,Medium
S1014,9,6,2,97,95,12,High
S1015,2,5,7,58,35,3,Low
S1016,7,8,4,89,80,11,High
S1017,4,6,6,77,58,6,Medium
S1018,6,7,5,82,72,9,Medium
S1019,2,4,9,52,28,2,Low
S1020,10,7,1,99,96,12,High
S1021,8,6,3,91,85,11,High
S1022,3,5,7,68,42,4,Low
S1023,5,9,4,83,67,8,Medium
S1024,4,6,5,76,54,6,Medium
S1025,1,4,8,48,22,1,Low
S1026,9,7,2,95,93,12,High
S1027,6,8,3,87,77,10,High
S1028,2,5,7,56,33,3,Low
S1029,5,7,4,82,69,8,Medium
S1030,7,6,3,89,81,11,High
S1031,8,8,2,94,87,12,High
S1032,3,4,6,70,46,5,Low
S1033,4,7,5,79,60,7,Medium
S1034,10,6,1,98,97,12,High
S1035,2,5,8,54,31,2,Low
S1036,7,7,4,90,83,11,High
S1037,5,6,6,78,64,7,Medium
S1038,6,9,5,84,74,9,Medium
S1039,1,5,10,42,21,1,Low
S1040,8,7,2,93,86,12,High
